MESH_ID	Dict_MESH
C538458	{'C538458': 0}
C538564	{'C538564': 0}
C538669	{'C538669': 0}
C540770	{'C540770': 0}
C562378	{'C562378': 0}
C562384	{'C562384': 0}
C562385	{'C562385': 0}
C562390	{'C562390': 0}
C562391	{'C562391': 0}
C562393	{'C562393': 0}
C562398	{'C562398': 0}
C562401	{'C562401': 0}
C562404	{'C562404': 0}
C562405	{'C562405': 0}
C562406	{'C562406': 0}
C562408	{'C562408': 0}
C562441	{'C562441': 0}
C562456	{'C562456': 0}
C562463	{'C562463': 0}
C562467	{'C562467': 0}
C562476	{'C562476': 0}
C562481	{'C562481': 0}
C562487	{'C562487': 0}
C562503	{'C562503': 0}
C562546	{'C562546': 0}
C562563	{'C562563': 0}
C562568	{'C562568': 0}
C562573	{'C562573': 0}
C562577	{'C562577': 0}
C562602	{'C562602': 0}
C562642	{'C562642': 0}
C562687	{'C562687': 0}
C562694	{'C562694': 0}
C562700	{'C562700': 0}
C562704	{'C562704': 0}
C562716	{'C562716': 0}
C562730	{'C562730': 0}
C562735	{'C562735': 0}
C562831	{'C562831': 0}
C562839	{'C562839': 0}
C562841	{'C562841': 0}
C562924	{'C562924': 0}
C562937	{'C562937': 0}
C562942	{'C562942': 0}
C562943	{'C562943': 0}
C562989	{'C562989': 0}
C562992	{'C562992': 0}
C563004	{'C563004': 0}
C563016	{'C563016': 0}
C563030	{'C563030': 0}
C563160	{'C563160': 0}
C563161	{'C563161': 0}
C563184	{'C563184': 0}
C563195	{'C563195': 0}
C563242	{'C563242': 0}
C563261	{'C563261': 0}
C563333	{'C563333': 0}
C563384	{'C563384': 0}
C563401	{'C563401': 0}
C563636	{'C563636': 0}
C563731	{'C563731': 0}
C563907	{'C563907': 0}
C564190	{'C564190': 0}
C564286	{'C564286': 0}
C564384	{'C564384': 0}
C564421	{'C564421': 0}
C564658	{'C564658': 0}
C564968	{'C564968': 0}
C565123	{'C565123': 0}
C565155	{'C565155': 0}
C565157	{'C565157': 0}
C565299	{'C565299': 0}
C565524	{'C565524': 0}
C565593	{'C565593': 0}
C565693	{'C565693': 0}
C565842	{'C565842': 0}
C566375	{'C566375': 0}
C566478	{'C566478': 0}
C566737	{'C566737': 0}
C566780	{'C566780': 0}
C566897	{'C566897': 0}
C566991	{'C566991': 0}
C567077	{'C567077': 0}
C567108	{'C567108': 0}
C567314	{'C567314': 0}
C567641	{'C567641': 0}
C567652	{'C567652': 0}
C567782	{'C567782': 0}
C569516	{'C569516': 0}
C570377	{'C570377': 0}
C571911	{'C571911': 0}
C571912	{'C571912': 0}
C572568	{'C572568': 0}
C574275	{'C574275': 0}
C580062	{'C580062': 0}
C580075	{'C580075': 0}
C580162	{'C580162': 0}
C580241	{'C580241': 0}
C580364	{'C580364': 0}
C580473	{'C580473': 0}
C580500	{'C580500': 0}
D000006	{'D013568': 4, 'D012816': 3, 'D009461': 3, 'D010146': 2, 'D015746': 1, 'D000006': 0, 'D012817': 2}
D000007	{'D014947': 1, 'D000007': 0}
D000008	{'D009369': 2, 'D009371': 1, 'D000008': 0}
D000013	{'D009358': 1, 'D000013': 0}
