pert_id
BRD-A01320529
BRD-A01636364
BRD-A02180903
BRD-A02579693
BRD-A02759312
BRD-A03323675
BRD-A03427350
BRD-A04352665
BRD-A05186015
BRD-A05352148
BRD-A07395371
BRD-A07440155
BRD-A07893380
BRD-A08200164
BRD-A08660406
BRD-A09056319
BRD-A09472452
BRD-A09533288
BRD-A09722536
BRD-A10070317
BRD-A10977446
BRD-A11170096
BRD-A11990600
BRD-A12832192
BRD-A13084692
BRD-A13133631
BRD-A13188892
BRD-A13650332
BRD-A14566392
BRD-A14792000
BRD-A15131297
BRD-A15297126
BRD-A16332958
BRD-A16444946
BRD-A16746338
BRD-A16934955
BRD-A16998493
BRD-A17655518
BRD-A17883755
BRD-A18929998
BRD-A19661776
BRD-A20239487
BRD-A20243730
BRD-A21858158
BRD-A22032524
BRD-A22256192
BRD-A22380646
BRD-A22844106
BRD-A23034328
BRD-A23290232
BRD-A23359898
BRD-A23801136
BRD-A24228527
BRD-A24891640
BRD-A26095496
BRD-A26334849
BRD-A26384407
BRD-A26711594
BRD-A28095882
BRD-A28746609
BRD-A29260609
BRD-A29485665
BRD-A29734509
BRD-A30977374
BRD-A31158127
BRD-A31159102
BRD-A31204924
BRD-A31312900
BRD-A31374339
BRD-A33168282
BRD-A34299591
BRD-A34309505
BRD-A34462049
BRD-A34578416
BRD-A34817987
BRD-A35108200
BRD-A35258977
BRD-A35588707
BRD-A35782587
BRD-A35869383
BRD-A35989968
BRD-A37444045
BRD-A37630846
BRD-A37780065
BRD-A38161572
BRD-A39290993
BRD-A39390670
BRD-A39969961
BRD-A40639672
BRD-A41020680
BRD-A41519720
BRD-A42383464
BRD-A42571354
BRD-A43974499
BRD-A43974575
BRD-A44780397
BRD-A45664787
BRD-A47564106
BRD-A47598013
BRD-A48261811
BRD-A48430263
BRD-A48570745
BRD-A48720949
BRD-A49148672
BRD-A49160188
BRD-A49172652
BRD-A49447682
BRD-A50157456
BRD-A50310035
BRD-A51382177
BRD-A51714012
BRD-A51964809
BRD-A52530684
BRD-A54596827
BRD-A55424491
BRD-A55962179
BRD-A56359832
BRD-A56892734
BRD-A57382968
BRD-A58767537
BRD-A59943784
BRD-A59985574
BRD-A60070924
BRD-A60197193
BRD-A60217728
BRD-A60274948
BRD-A60414806
BRD-A61154809
BRD-A61793559
BRD-A62025033
BRD-A62326914
BRD-A62434282
BRD-A63043573
BRD-A64092382
BRD-A64290322
BRD-A64297288
BRD-A64479082
BRD-A64977602
BRD-A65013509
BRD-A65282128
BRD-A65449987
BRD-A65671304
BRD-A65739223
BRD-A65818372
BRD-A66559694
BRD-A67097164
BRD-A67438293
BRD-A67479912
BRD-A67605442
BRD-A67981824
BRD-A68888262
BRD-A69512159
BRD-A69636825
BRD-A69927616
BRD-A70155556
BRD-A71390734
BRD-A72075775
BRD-A72988804
BRD-A73368467
BRD-A73741725
BRD-A74642112
BRD-A74980173
BRD-A75144621
BRD-A75479906
BRD-A75850590
BRD-A75919782
BRD-A75935363
BRD-A76019558
BRD-A76229785
BRD-A77824596
BRD-A79226577
BRD-A79465854
BRD-A79479878
BRD-A79803969
BRD-A79981887
BRD-A81233518
BRD-A81772229
BRD-A82307304
BRD-A82371568
BRD-A82396632
BRD-A83081521
BRD-A84134924
BRD-A84174393
BRD-A84174873
BRD-A84465106
BRD-A84481105
BRD-A87387433
BRD-A87606379
BRD-A87719232
BRD-A87848830
BRD-A88254928
BRD-A89175223
BRD-A89585551
BRD-A91008255
BRD-A93255169
BRD-A93269281
BRD-A95869247
BRD-A95939040
BRD-A96255180
BRD-A97437073
BRD-A97674275
BRD-A97701745
BRD-A97739905
BRD-A99833829
BRD-A99939097
BRD-K00532621
BRD-K00673382
BRD-K00824317
BRD-K01228321
BRD-K01292756
BRD-K01612348
BRD-K02227374
BRD-K02265150
BRD-K02404261
BRD-K02637541
BRD-K02992638
BRD-K03012696
BRD-K03243820
BRD-K03319035
BRD-K03406345
BRD-K04196797
BRD-K04210847
BRD-K04412738
BRD-K04804440
BRD-K04993501
BRD-K05395900
BRD-K05510762
BRD-K05658747
BRD-K05673000
BRD-K05977355
BRD-K06335600
BRD-K06388322
BRD-K06557128
BRD-K06878038
BRD-K06926592
BRD-K07208025
BRD-K07265709
BRD-K07612980
BRD-K08206212
BRD-K08252256
BRD-K08547377
BRD-K08681769
BRD-K08845546
BRD-K08924299
BRD-K09436313
BRD-K09631521
BRD-K09951645
BRD-K09963420
BRD-K10670311
BRD-K10706131
BRD-K10852020
BRD-K10916986
BRD-K10961822
BRD-K11129031
BRD-K11196887
BRD-K12219985
BRD-K12343256
BRD-K12437696
BRD-K12994359
BRD-K13032584
BRD-K13044802
BRD-K13078532
BRD-K13183738
BRD-K13296708
BRD-K13514097
BRD-K13926615
BRD-K14204120
BRD-K14550461
BRD-K15010214
BRD-K15014948
BRD-K15108141
BRD-K15262564
BRD-K15502390
BRD-K15891719
BRD-K15933101
BRD-K16336526
BRD-K16508793
BRD-K17306061
BRD-K17561142
BRD-K17743125
BRD-K18618618
BRD-K18855837
BRD-K18895904
BRD-K19416115
BRD-K19687926
BRD-K20141153
BRD-K20338176
BRD-K21283037
BRD-K21317336
BRD-K21680192
BRD-K21733600
BRD-K21806131
BRD-K22031190
BRD-K22662435
BRD-K23204545
BRD-K23369905
BRD-K23566484
BRD-K23984367
BRD-K24053527
BRD-K24844714
BRD-K26521938
BRD-K26657438
BRD-K28029915
BRD-K28307902
BRD-K28542495
BRD-K28849549
BRD-K29458283
BRD-K29530284
BRD-K29582115
BRD-K29653726
BRD-K29905972
BRD-K30020243
BRD-K30097969
BRD-K30480208
BRD-K30618791
BRD-K30649484
BRD-K31283835
BRD-K31333309
BRD-K31534764
BRD-K32107296
BRD-K32318651
BRD-K32398298
BRD-K32821942
BRD-K32830106
BRD-K33127281
BRD-K33226500
BRD-K33453211
BRD-K34685430
BRD-K34776109
BRD-K35189033
BRD-K35520305
BRD-K36616567
BRD-K37130586
BRD-K37130656
BRD-K37289225
BRD-K37949327
BRD-K38197229
BRD-K38305202
BRD-K38436528
BRD-K39397585
BRD-K39915878
BRD-K39983086
BRD-K40758068
BRD-K41260949
BRD-K41410256
